,year,week,name,id,home,team,pos,defense_ast,defense_ffum,defense_fgblk,defense_frec,defense_frec_tds,defense_int,defense_int_tds,defense_misc_tds,defense_pass_def,defense_puntblk,defense_qbhit,defense_safe,defense_sk,defense_sk_yds,defense_tds,defense_tkl,defense_tkl_loss,defense_tkl_primary,defense_xpblk,fumbles_forced,fumbles_lost,fumbles_notforced,fumbles_tot,kicking_fga,kicking_fgb,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_tot,kicking_totpfg,kicking_touchback,kicking_xpa,kicking_xpmade,kicking_xpmissed,kicking_yds,kickret_avg,kickret_fair,kickret_lng,kickret_ret,kickret_tds,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_first_down,passing_incmp,passing_incmp_air_yds,passing_int,passing_ints,passing_sk,passing_sk_yds,passing_tds,passing_twopta,passing_twoptm,passing_twoptmissed,passing_yds,penalty,penalty_first_down,penalty_yds,punting_avg,punting_blk,punting_i20,punting_lng,punting_pts,punting_tot,punting_touchback,punting_yds,puntret_avg,puntret_fair,puntret_lng,puntret_ret,puntret_tds,puntret_tot,puntret_touchback,puntret_yds,receiving_lng,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_twoptmissed,receiving_yac_yds,receiving_yds,rushing_att,rushing_first_down,rushing_lng,rushing_loss,rushing_tds,rushing_twopta,rushing_twoptm,rushing_twoptmissed,rushing_yds
236,2015.0,14.0,A.McCarron,00-0031288,yes,CIN,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,22.0,176.0,,10.0,107.0,2.0,2.0,3.0,-18.0,2.0,0.0,0.0,,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,0.0,0.0,0.0,,8.0
944,2015.0,15.0,A.McCarron,00-0031288,no,CIN,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,15.0,135.0,,6.0,60.0,,0.0,4.0,-18.0,1.0,0.0,0.0,,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,0.0,0.0,0.0,,2.0
994,2015.0,16.0,A.McCarron,00-0031288,no,CIN,QB,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,35.0,22.0,130.0,,13.0,209.0,,0.0,2.0,-14.0,1.0,0.0,0.0,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,16.0,,0.0,0.0,0.0,,21.0
129,2015.0,17.0,A.McCarron,00-0031288,yes,CIN,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,17.0,89.0,,10.0,41.0,,0.0,3.0,-13.0,2.0,0.0,0.0,,160.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,0.0,0.0,0.0,,2.0
667,2015.0,1.0,A.McClellan,00-0027560,no,BAL,OLB,1.0,0.0,,,,0.0,,,,,1.0,,1.0,-9.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,2015.0,2.0,A.McClellan,00-0027560,no,BAL,OLB,0.0,0.0,,,,0.0,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,2015.0,3.0,A.McClellan,00-0027560,yes,BAL,OLB,1.0,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2015.0,4.0,A.McClellan,00-0027560,no,BAL,OLB,0.0,0.0,,,,0.0,,,,,,,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,2015.0,5.0,A.McClellan,00-0027560,yes,BAL,OLB,1.0,0.0,,,,0.0,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,2015.0,6.0,A.McClellan,00-0027560,no,BAL,OLB,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,2015.0,7.0,A.McClellan,00-0027560,no,BAL,OLB,0.0,0.0,,,,0.0,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2015.0,8.0,A.McClellan,00-0027560,yes,BAL,OLB,1.0,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,2015.0,11.0,A.McClellan,00-0027560,yes,BAL,OLB,,,,1.0,,,,,,,,,,,,2.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2015.0,13.0,A.McClellan,00-0027560,no,BAL,OLB,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,2015.0,2.0,A.Moats,00-0027777,yes,PIT,OLB,1.0,0.0,,,,0.0,,,,,1.0,,0.5,-6.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,2015.0,3.0,A.Moats,00-0027777,no,PIT,OLB,1.0,0.0,,,,0.0,,,,,1.0,,1.0,-8.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2015.0,4.0,A.Moats,00-0027777,yes,PIT,OLB,1.0,0.0,,,,0.0,,,,,,,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,2015.0,5.0,A.Moats,00-0027777,no,PIT,OLB,1.0,0.0,,,,0.0,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,2015.0,6.0,A.Moats,00-0027777,yes,PIT,OLB,1.0,0.0,,,,0.0,,,,,1.0,,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2015.0,7.0,A.Moats,00-0027777,no,PIT,OLB,1.0,0.0,,,,0.0,,,,,1.0,,0.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2015.0,8.0,A.Moats,00-0027777,yes,PIT,OLB,1.0,0.0,,,,0.0,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,2015.0,10.0,A.Moats,00-0027777,yes,PIT,OLB,1.0,0.0,,1.0,,0.0,,,,,1.0,,0.5,-7.0,,1.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,2015.0,12.0,A.Moats,00-0027777,no,PIT,OLB,2.0,0.0,,,,0.0,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,2015.0,13.0,A.Moats,00-0027777,yes,PIT,OLB,1.0,0.0,,,,0.0,,,1.0,,2.0,,1.0,-8.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,2015.0,15.0,A.Moats,00-0027777,yes,PIT,OLB,0.0,0.0,,,,0.0,,,1.0,,,,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,2015.0,16.0,A.Moats,00-0027777,no,PIT,OLB,2.0,0.0,,,,0.0,,,,,1.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2015.0,17.0,A.Moats,00-0027777,no,PIT,OLB,0.0,0.0,,1.0,,0.0,,,,,1.0,,1.0,-9.0,,6.0,1.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,2015.0,1.0,A.Morris,00-0029141,yes,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,14.0,,0.0,0.0,0.0,,121.0
414,2015.0,2.0,A.Morris,00-0029141,yes,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,2.0,0.0,0.0,0.0,,15.0,13.0,18.0,,35.0,,0.0,0.0,0.0,,59.0
26,2015.0,3.0,A.Morris,00-0029141,no,WAS,RB,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,7.0,,0.0,0.0,0.0,,19.0
405,2015.0,4.0,A.Morris,00-0029141,yes,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,0.0,0.0,0.0,,0.0,3.0,17.0,,16.0,,0.0,0.0,0.0,,62.0
266,2015.0,5.0,A.Morris,00-0029141,no,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,4.0,,0.0,0.0,0.0,,15.0
141,2015.0,6.0,A.Morris,00-0029141,no,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,0.0,0.0,,10.0,11.0,11.0,,6.0,,0.0,0.0,0.0,,21.0
388,2015.0,7.0,A.Morris,00-0029141,yes,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.0,0.0,0.0,,0.0,2.0,6.0,,5.0,,0.0,0.0,0.0,,5.0
220,2015.0,9.0,A.Morris,00-0029141,no,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,0.0,0.0,0.0,,10.0
71,2015.0,10.0,A.Morris,00-0029141,yes,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,3.0,0.0,0.0,0.0,,10.0,14.0,15.0,,28.0,,0.0,0.0,0.0,,104.0
470,2015.0,11.0,A.Morris,00-0029141,no,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,0.0,0.0,0.0,,0.0
215,2015.0,12.0,A.Morris,00-0029141,yes,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,0.0,0.0,,7.0,12.0,23.0,,9.0,,0.0,0.0,0.0,,78.0
1013,2015.0,13.0,A.Morris,00-0029141,yes,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,3.0,,0.0,0.0,0.0,,12.0
452,2015.0,14.0,A.Morris,00-0029141,no,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,5.0,,1.0,0.0,0.0,,24.0
597,2015.0,15.0,A.Morris,00-0029141,yes,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,48.0,,0.0,0.0,0.0,,84.0
88,2015.0,16.0,A.Morris,00-0029141,no,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,17.0,,8.0,,0.0,0.0,0.0,,49.0
498,2015.0,17.0,A.Morris,00-0029141,no,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,23.0,,0.0,0.0,0.0,,100.0
971,2015.0,2.0,A.Mulumba,00-0030131,yes,GB,,1.0,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,2015.0,3.0,A.Mulumba,00-0030131,yes,GB,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,2015.0,6.0,A.Mulumba,00-0030131,yes,GB,,2.0,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,2015.0,17.0,A.Mulumba,00-0030131,yes,GB,,0.0,0.0,,,,0.0,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2015.0,1.0,A.Ogletree,00-0030527,yes,STL,OLB,2.0,0.0,,,,0.0,,,,,1.0,,0.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,2015.0,2.0,A.Ogletree,00-0030527,no,STL,OLB,8.0,0.0,,,,0.0,,,,,,,0.0,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,2015.0,3.0,A.Ogletree,00-0030527,yes,STL,OLB,4.0,0.0,,,,0.0,,,,,1.0,,2.0,-9.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,2015.0,4.0,A.Ogletree,00-0030527,no,STL,OLB,1.0,0.0,,,,0.0,,,,,,,0.0,,,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,2015.0,1.0,A.Okafor,00-0030503,yes,ARI,OLB,1.0,0.0,,,,0.0,,,,,2.0,,2.0,-1.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,2015.0,2.0,A.Okafor,00-0030503,no,ARI,OLB,1.0,0.0,,,,0.0,,,,,,,0.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,2015.0,3.0,A.Okafor,00-0030503,yes,ARI,OLB,1.0,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,2015.0,4.0,A.Okafor,00-0030503,yes,ARI,OLB,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,2015.0,5.0,A.Okafor,00-0030503,no,ARI,OLB,1.0,0.0,,,,0.0,,,1.0,,1.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,2015.0,10.0,A.Okafor,00-0030503,no,ARI,OLB,0.0,0.0,,,,0.0,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,2015.0,11.0,A.Okafor,00-0030503,yes,ARI,OLB,1.0,0.0,,,,0.0,,,,,,,0.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,2015.0,13.0,A.Okafor,00-0030503,no,ARI,OLB,1.0,0.0,,,,0.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2015.0,14.0,A.Okafor,00-0030503,yes,ARI,OLB,0.0,0.0,,1.0,,0.0,,,,,,,0.0,,,3.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,2015.0,15.0,A.Okafor,00-0030503,no,ARI,OLB,0.0,0.0,,,,0.0,,,1.0,,,,0.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,2015.0,16.0,A.Okafor,00-0030503,yes,ARI,OLB,0.0,0.0,,,,0.0,,,,,1.0,,0.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,2015.0,17.0,A.Okafor,00-0030503,yes,ARI,OLB,0.0,0.0,,,,0.0,,,,,2.0,,0.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,2015.0,14.0,A.Pasztor,00-0029076,yes,CLE,OG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,2015.0,17.0,A.Pasztor,00-0029076,yes,CLE,OG,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,2015.0,12.0,A.Peat,00-0032203,no,NO,OG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,2015.0,13.0,A.Peat,00-0032203,yes,NO,OG,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,2015.0,1.0,A.Peterson,00-0025394,no,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,3.0,3.0,0.0,0.0,0.0,,27.0,21.0,10.0,,9.0,,0.0,0.0,0.0,,31.0
534,2015.0,2.0,A.Peterson,00-0025394,yes,MIN,RB,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,2.0,2.0,0.0,0.0,0.0,,72.0,58.0,29.0,,25.0,,0.0,0.0,0.0,,134.0
326,2015.0,3.0,A.Peterson,00-0025394,yes,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,43.0,,2.0,0.0,0.0,,126.0
801,2015.0,4.0,A.Peterson,00-0025394,no,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,6.0,0.0,0.0,0.0,,14.0,13.0,16.0,,48.0,,1.0,0.0,0.0,,81.0
269,2015.0,6.0,A.Peterson,00-0025394,yes,MIN,RB,,,,,,,,,,,,,,,,,,,,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,1.0,1.0,0.0,0.0,0.0,,0.0,-3.0,26.0,,23.0,,0.0,0.0,0.0,,60.0
474,2015.0,7.0,A.Peterson,00-0025394,no,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,3.0,0.0,0.0,0.0,,17.0,12.0,19.0,,75.0,,0.0,0.0,0.0,,98.0
345,2015.0,8.0,A.Peterson,00-0025394,no,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,2.0,0.0,0.0,0.0,,8.0,6.0,20.0,,12.0,,0.0,0.0,0.0,,103.0
76,2015.0,9.0,A.Peterson,00-0025394,yes,MIN,RB,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,9.0,2.0,2.0,0.0,0.0,0.0,,13.0,18.0,29.0,,15.0,,1.0,0.0,0.0,,125.0
601,2015.0,10.0,A.Peterson,00-0025394,no,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.0,3.0,0.0,0.0,0.0,,15.0,13.0,26.0,,80.0,,1.0,0.0,0.0,,203.0
395,2015.0,11.0,A.Peterson,00-0025394,yes,MIN,RB,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,2.0,0.0,0.0,0.0,,17.0,16.0,13.0,,11.0,,1.0,0.0,0.0,,45.0
271,2015.0,12.0,A.Peterson,00-0025394,no,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,2.0,4.0,0.0,0.0,0.0,,28.0,29.0,29.0,,35.0,,2.0,0.0,0.0,,158.0
480,2015.0,13.0,A.Peterson,00-0025394,yes,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,0.0,0.0,0.0,,7.0,6.0,8.0,,5.0,,0.0,0.0,0.0,,18.0
20,2015.0,14.0,A.Peterson,00-0025394,no,MIN,RB,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,0.0,0.0,,14.0,17.0,23.0,,21.0,,1.0,0.0,0.0,,69.0
274,2015.0,15.0,A.Peterson,00-0025394,yes,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,10.0,,0.0,0.0,0.0,,63.0
535,2015.0,16.0,A.Peterson,00-0025394,yes,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,2.0,0.0,0.0,0.0,,20.0,15.0,22.0,,39.0,,1.0,0.0,0.0,,104.0
662,2015.0,17.0,A.Peterson,00-0025394,no,MIN,RB,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,,7.0,1.0,19.0,,10.0,,1.0,0.0,0.0,,67.0
260,2015.0,2.0,A.Phillips,00-0031404,no,SD,CB,1.0,0.0,,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2015.0,3.0,A.Phillips,00-0031404,no,SD,CB,0.0,0.0,,,,0.0,,,,,,,0.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,2015.0,4.0,A.Phillips,00-0031404,yes,SD,CB,1.0,0.0,,,,0.0,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
